Coverage ID,Coverage Year,Coverage Month,Coverage Day
135,2023,10,23
136,2023,6,2
137,2025,3,15
138,2022,5,8
139,2021,4,20
140,2021,1,13
141,2024,7,23
142,2023,4,17
143,2025,2,2
144,2023,5,19
145,2021,7,13
146,2021,4,26
147,2024,10,28
148,2024,9,17
149,2021,9,26
150,2022,8,28
151,2024,1,22
152,2023,5,16
153,2023,10,13
154,2021,6,7
155,2023,2,9
156,2022,5,7
157,2022,6,1
158,2022,4,9
159,2021,10,18
160,2023,3,8
161,2022,1,8
162,2022,10,16
163,2022,1,7
164,2024,2,7
165,2023,12,3
166,2023,12,31
167,2024,5,10
168,2022,4,16
169,2021,10,27
170,2023,12,16
171,2021,4,10
172,2021,5,8
173,2022,6,9
174,2024,8,8
175,2023,8,28
176,2024,11,1
177,2022,10,30
178,2022,4,17
179,2022,9,5
180,2025,2,1
181,2021,3,3
182,2024,4,25
183,2022,11,20
184,2022,3,24
185,2022,12,28
186,2023,5,3
187,2024,2,23
188,2022,8,21
189,2023,7,23
190,2023,8,31
191,2024,4,18
192,2024,2,5
193,2022,11,9
194,2024,4,29
195,2021,2,4
196,2022,6,21
197,2021,1,21
198,2023,9,19
199,2021,3,16
200,2022,1,10
201,2021,9,5
202,2023,1,26
203,2024,11,10
204,2022,2,25
205,2022,5,15
206,2022,4,3
207,2021,10,12
208,2021,6,16
209,2023,4,13
210,2022,11,28
211,2024,6,25
212,2022,4,24
213,2022,7,25
214,2022,8,20
215,2024,2,19
216,2022,5,4
217,2021,8,4
218,2023,1,26
219,2024,5,24
220,2022,7,30
221,2022,6,20
222,2024,4,6
223,2025,3,14
224,2021,11,7
225,2022,12,27
226,2024,12,20
227,2021,10,27
228,2024,2,27
229,2022,9,10
230,2024,2,29
231,2022,6,5
232,2021,8,24
233,2024,1,29
234,2021,9,27
235,2023,6,2
236,2024,7,24
237,2025,2,12
238,2022,4,18
239,2022,10,27
240,2024,3,16
241,2021,6,30
242,2023,5,3
243,2021,1,23
244,2021,6,29
245,2022,1,16
246,2021,4,15
247,2022,3,4
248,2022,6,29
249,2022,10,23
250,2024,5,16
251,2021,9,20
252,2023,4,5
253,2023,10,6
254,2023,3,8
255,2021,11,13
256,2024,9,5
257,2023,7,2
258,2023,7,7
259,2022,10,31
260,2024,7,13
261,2021,5,18
262,2021,11,14
263,2024,11,3
264,2025,3,7
265,2024,9,10
266,2025,1,16
267,2021,6,24
268,2022,12,15
269,2024,6,18
270,2022,2,13
271,2023,8,23
272,2021,10,8
273,2023,2,6
274,2021,6,27
275,2023,6,17
276,2022,6,24
277,2022,1,2
278,2022,10,2
279,2023,6,11
280,2025,2,28
281,2021,5,8
282,2022,1,22
283,2024,6,26
284,2021,9,4
285,2024,11,15
286,2024,2,12
287,2024,10,26
288,2022,4,24
289,2021,9,29
290,2023,2,10
291,2022,1,10
292,2022,3,18
293,2022,12,4
294,2021,11,23
295,2023,6,25
296,2022,10,28
297,2021,12,12
298,2022,1,22
299,2022,11,13
300,2024,1,11
301,2021,9,7
302,2022,9,11
303,2024,1,31
304,2024,1,16
305,2023,9,1
306,2024,4,3
307,2022,6,26
308,2025,3,8
309,2024,11,15
310,2024,5,12
311,2021,6,30
312,2024,8,9
313,2023,12,18
314,2021,12,16
315,2023,10,4
316,2023,5,21
317,2024,7,30
318,2023,11,16
319,2021,3,14
320,2024,1,26
321,2021,2,2
322,2023,11,3
323,2021,1,7
324,2024,1,18
325,2021,1,18
326,2024,6,4
327,2024,11,3
328,2021,8,2
329,2024,5,16
330,2022,3,30
331,2024,10,12
332,2021,3,22
333,2022,6,8
334,2025,2,9
335,2023,7,25
336,2022,10,16
337,2023,12,8
338,2021,1,20
339,2022,8,21
340,2021,10,14
341,2024,5,14
342,2022,2,21
343,2021,2,23
344,2025,1,6
345,2024,5,21
346,2021,2,15
347,2024,1,27
348,2024,6,4
349,2022,5,22
350,2022,4,14
351,2023,11,16
352,2024,1,1
353,2021,5,1
354,2021,6,22
355,2025,2,19
356,2021,8,23
357,2024,8,18
358,2021,9,27
359,2024,8,21
360,2022,1,4
361,2021,4,23
362,2021,4,30
363,2021,7,23
364,2022,7,18
365,2023,4,11
366,2024,10,20
367,2022,5,28
368,2022,5,1
369,2024,3,5
370,2022,9,10
371,2024,3,23
372,2021,10,28
373,2023,1,22
374,2022,2,21
375,2024,2,13
376,2021,4,18
377,2021,2,26
378,2024,9,12
379,2022,8,26
380,2024,4,3
381,2021,2,26
382,2024,6,1
383,2022,1,13
384,2022,1,5
385,2023,7,2
386,2021,3,16
387,2021,3,31
388,2021,4,24
389,2021,1,10
390,2022,9,14
391,2023,5,18
392,2022,9,13
393,2024,3,16
394,2022,12,13
395,2024,8,24
396,2024,6,21
397,2024,12,28
398,2023,1,13
399,2022,8,5
400,2021,4,20
401,2023,9,16
402,2023,7,27
403,2024,11,20
404,2024,12,31
405,2023,4,14
406,2022,12,7
407,2023,6,6
408,2024,7,29
409,2024,5,17
410,2021,11,26
411,2021,10,11
412,2023,3,7
413,2021,2,27
414,2021,1,23
415,2022,10,4
416,2025,2,16
417,2021,3,28
418,2024,1,20
419,2024,9,14
420,2022,7,20
421,2023,9,24
422,2022,5,20
423,2021,10,16
424,2023,6,3
425,2021,5,9
426,2021,7,9
427,2025,2,14
428,2024,12,20
429,2024,8,16
430,2022,3,28
431,2024,12,17
432,2023,10,11
433,2022,4,30
434,2021,7,18
435,2023,8,4
436,2021,8,14
437,2023,4,4
438,2025,1,20
439,2021,4,12
440,2022,6,29
441,2023,12,14
442,2022,12,8
443,2022,7,24
444,2024,7,21
445,2021,10,20
446,2023,1,28
447,2022,10,26
448,2024,2,7
449,2022,5,21
450,2022,10,14
451,2022,7,28
452,2021,1,24
453,2023,3,9
454,2022,1,3
455,2022,3,28
456,2023,10,29
457,2021,5,21
458,2022,3,26
459,2025,3,4
460,2022,4,20
461,2022,5,4
462,2022,4,7
463,2022,11,12
464,2022,5,30
465,2023,5,30
466,2022,10,23
467,2023,7,13
468,2023,5,12
469,2022,7,6
470,2024,12,21
471,2024,11,22
472,2024,10,13
473,2023,1,5
474,2024,8,31
475,2021,6,3
476,2023,4,7
477,2023,3,11
478,2021,10,9
479,2024,1,31
480,2021,7,22
481,2021,8,2
482,2024,12,7
483,2022,4,25
484,2024,2,9
485,2022,12,30
486,2024,6,13
487,2022,11,17
488,2022,1,26
489,2022,1,10
490,2024,5,19
491,2021,7,9
492,2024,10,22
493,2022,8,4
494,2022,7,23
495,2023,4,22
496,2022,5,21
497,2022,5,3
498,2022,11,28
499,2022,7,18
500,2022,6,15
501,2024,9,2
502,2022,2,9
503,2024,1,20
504,2024,12,25
505,2021,10,7
506,2022,9,24
507,2023,6,4
508,2022,9,23
509,2021,3,4
510,2021,1,29
511,2022,8,26
512,2022,3,26
513,2022,11,30
514,2021,7,17
515,2025,1,2
516,2022,11,16
517,2021,11,7
518,2024,2,29
519,2023,8,10
520,2024,7,30
521,2024,6,14
522,2023,7,31
523,2022,11,13
524,2022,1,25
525,2022,2,21
526,2021,1,26
527,2022,8,20
528,2024,2,27
529,2024,3,29
530,2022,6,16
531,2021,12,22
532,2024,8,29
533,2025,2,11
534,2022,10,4
535,2024,8,19
536,2023,8,20
537,2023,7,2
538,2021,5,9
539,2024,4,27
540,2023,2,6
541,2022,7,26
542,2022,8,26
543,2023,6,2
544,2024,12,5
545,2023,10,9
546,2022,9,7
547,2023,3,15
548,2021,10,29
549,2023,3,5
550,2024,4,1
551,2024,12,11
552,2023,1,19
553,2022,1,16
554,2021,9,14
555,2024,5,20
556,2022,9,3
557,2021,10,13
558,2021,9,22
559,2021,10,4
560,2023,10,22
561,2022,7,16
562,2025,3,13
563,2023,4,20
564,2024,5,17
565,2022,3,21
566,2023,11,6
567,2022,2,8
568,2022,6,1
569,2023,8,24
570,2021,3,20
571,2024,12,30
572,2021,4,3
573,2023,10,18
574,2022,2,7
575,2023,6,10
576,2024,6,7
577,2022,8,20
578,2021,11,1
579,2022,6,14
580,2022,6,3
581,2021,6,2
582,2023,1,16
583,2024,1,19
584,2021,3,23
585,2024,4,17
586,2021,8,6
587,2021,5,19
588,2024,1,8
589,2022,8,15
590,2023,1,31
591,2022,3,22
592,2023,4,19
593,2025,1,17
594,2021,2,28
595,2024,10,8
596,2023,2,17
597,2021,1,5
598,2022,2,4
599,2022,2,3
600,2021,1,31
601,2023,4,7
602,2021,1,30
603,2022,11,14
604,2024,11,2
605,2024,9,21
606,2024,8,9
607,2022,11,25
608,2024,1,17
609,2021,8,1
610,2023,11,10
611,2021,8,8
612,2023,10,28
613,2021,8,11
614,2023,5,26
615,2022,8,24
616,2025,1,13
617,2023,10,22
618,2021,6,24
619,2022,1,23
620,2021,11,16
621,2023,12,20
622,2022,4,23
623,2023,1,19
624,2022,11,26
625,2022,9,26
626,2024,4,10
627,2023,7,1
628,2021,2,23
629,2022,5,2
630,2022,1,3
631,2023,6,4
632,2021,1,29
633,2021,4,21
634,2021,4,6
635,2021,5,21
636,2022,5,16
637,2024,10,13
638,2023,12,25
639,2022,9,20
640,2022,5,31
641,2021,3,25
642,2023,3,20
643,2021,1,23
644,2022,6,25
645,2022,7,22
646,2022,7,14
647,2021,7,9
648,2021,10,6
649,2021,7,1
650,2021,12,12
651,2024,6,1
652,2021,4,8
653,2023,7,10
654,2023,1,17
655,2022,6,30
656,2022,7,26
657,2022,2,1
658,2023,11,21
659,2022,8,16
660,2021,1,25
661,2024,7,1
662,2024,5,23
663,2024,10,2
664,2025,2,1
665,2023,4,5
666,2024,3,8
667,2022,10,7
668,2024,11,10
669,2022,4,12
670,2025,1,13
671,2023,11,16
672,2024,4,12
673,2024,2,29
674,2024,11,20
675,2021,7,30
676,2023,12,18
677,2025,3,5
678,2021,12,10
679,2022,1,19
680,2022,3,31
681,2024,7,14
682,2021,3,6
683,2023,7,25
684,2021,2,3
685,2021,2,25
686,2022,10,21
687,2024,1,12
688,2022,6,12
689,2022,3,23
690,2023,12,1
691,2023,11,30
692,2021,6,26
693,2022,1,15
694,2022,8,31
695,2021,6,29
696,2022,9,20
697,2023,10,18
698,2023,8,29
699,2022,1,19
700,2024,12,17
701,2021,12,15
702,2023,7,8
703,2024,4,2
704,2024,1,15
705,2022,10,27
706,2024,3,17
707,2025,1,15
708,2023,1,16
709,2024,8,19
710,2023,11,1
711,2023,10,6
712,2021,4,20
713,2022,9,28
714,2023,7,1
715,2021,3,5
716,2024,5,19
717,2022,2,8
718,2024,1,24
719,2022,4,24
720,2021,11,27
721,2024,8,17
722,2024,11,28
723,2023,3,28
724,2023,2,3
725,2023,12,4
726,2022,8,18
727,2025,3,20
728,2022,7,30
729,2025,1,21
730,2024,4,17
731,2022,10,2
732,2022,7,21
733,2021,9,25
734,2022,10,2
735,2024,12,16
736,2022,9,22
737,2021,8,5
738,2023,8,16
739,2022,3,14
740,2024,12,20
741,2023,6,2
742,2024,6,29
743,2022,1,27
744,2021,2,2
745,2024,7,22
746,2022,2,8
747,2022,9,13
748,2021,11,30
749,2024,2,19
750,2021,10,12
751,2022,8,12
752,2023,2,18
753,2025,1,22
754,2022,4,15
755,2022,3,4
756,2024,6,27
757,2021,5,29
758,2022,9,22
759,2023,1,18
760,2022,2,5
761,2023,8,21
762,2022,5,17
763,2024,10,17
764,2024,2,12
765,2024,11,20
766,2024,10,20
767,2023,9,10
768,2023,8,25
769,2024,6,24
770,2024,8,13
771,2021,5,27
772,2024,8,21
773,2021,2,21
774,2023,7,20
775,2022,12,29
776,2021,4,3
777,2022,9,20
778,2021,4,26
779,2021,5,29
780,2021,7,13
781,2023,10,6
782,2021,8,9
783,2024,11,9
784,2022,10,23
785,2025,1,18
786,2022,4,15
787,2022,9,9
788,2023,1,6
789,2024,8,11
790,2021,3,27
791,2024,11,25
792,2022,9,15
793,2023,5,15
794,2022,4,5
795,2022,8,28
796,2023,7,2
797,2022,9,27
798,2025,1,27
799,2021,2,11
800,2021,4,21
801,2023,7,25
802,2022,11,11
803,2021,2,20
804,2024,5,14
805,2024,5,4
806,2024,9,28
807,2024,3,25
808,2023,3,29
809,2024,3,23
810,2023,5,29
811,2025,1,21
812,2021,6,19
813,2025,2,24
814,2021,11,22
815,2023,5,1
816,2023,11,29
817,2023,5,20
818,2021,12,23
819,2022,5,12
820,2022,10,15
821,2021,10,29
822,2022,6,28
823,2021,7,14
824,2022,11,16
825,2022,10,12
826,2024,4,17
827,2024,6,24
828,2022,10,27
829,2021,5,7
830,2022,7,27
831,2024,12,23
832,2023,2,21
833,2022,5,26
834,2021,10,30
835,2021,3,11
836,2022,11,20
837,2024,11,27
838,2021,3,1
839,2022,10,20
840,2023,9,16
841,2024,11,30
842,2024,9,30
843,2024,9,8
844,2021,10,14
845,2024,6,19
846,2021,3,29
847,2024,9,12
848,2023,7,9
849,2022,2,13
850,2022,5,3
851,2024,4,7
852,2021,8,30
853,2024,5,22
854,2023,8,10
855,2021,7,28
856,2024,6,21
857,2021,9,8
858,2022,1,21
859,2024,2,14
860,2023,2,21
861,2024,1,24
862,2024,3,13
863,2024,6,27
864,2024,7,8
865,2024,11,4
866,2024,7,28
867,2024,11,20
868,2023,11,9
869,2023,11,13
870,2021,10,27
871,2021,10,16
872,2024,2,11
873,2023,8,22
874,2021,8,30
875,2022,4,18
876,2024,3,30
877,2024,11,27
878,2023,2,3
879,2021,6,29
880,2024,10,4
881,2024,12,24
882,2024,6,20
883,2021,7,29
884,2022,7,2
885,2025,2,22
886,2023,5,29
887,2022,1,29
888,2025,1,25
889,2021,10,23
890,2021,5,19
891,2022,9,30
892,2021,7,8
893,2022,7,13
894,2023,8,21
895,2024,9,5
896,2022,10,17
897,2024,5,6
898,2023,2,9
899,2023,6,10
900,2022,7,24
901,2023,9,22
902,2022,11,17
903,2022,3,29
904,2021,1,30
905,2024,12,16
906,2022,12,1
907,2021,2,6
908,2023,6,10
909,2022,10,12
910,2021,12,30
911,2024,12,18
912,2024,3,17
913,2024,1,15
914,2022,2,19
915,2023,11,15
916,2021,6,29
917,2022,3,2
918,2022,5,27
919,2023,3,24
920,2021,5,15
921,2022,1,16
922,2022,9,9
923,2022,2,14
924,2022,12,29
925,2022,11,26
926,2025,1,5
927,2022,4,3
928,2021,11,25
929,2022,4,13
930,2022,1,3
931,2024,10,23
932,2022,12,23
933,2024,3,9
934,2021,9,25
935,2021,10,22
936,2021,2,4
937,2024,6,11
938,2022,7,21
939,2023,6,29
940,2021,2,3
941,2024,9,29
942,2024,1,23
943,2024,11,29
944,2024,6,16
945,2024,10,14
946,2023,11,18
947,2024,2,12
948,2022,1,16
949,2023,8,13
950,2023,1,31
951,2024,6,11
952,2021,9,25
953,2024,6,13
954,2021,3,25
955,2022,9,3
956,2021,8,21
957,2023,11,3
958,2021,8,5
959,2024,6,29
960,2021,12,31
961,2023,9,8
962,2022,10,31
963,2023,12,12
964,2023,1,6
965,2021,2,14
966,2023,10,25
967,2022,10,9
968,2021,5,28
969,2024,5,14
970,2024,4,10
971,2021,12,5
972,2022,1,8
973,2023,3,10
974,2024,12,29
975,2021,2,11
976,2022,9,22
977,2024,12,10
978,2023,9,27
979,2022,2,27
980,2022,8,12
981,2024,4,10
982,2025,3,5
983,2023,12,18
984,2022,6,14
985,2022,3,5
986,2024,3,8
987,2023,8,1
988,2023,4,6
989,2021,5,27
990,2021,10,17
991,2024,8,17
992,2021,9,13
993,2023,3,9
994,2021,1,27
995,2022,2,17
996,2021,11,5
997,2022,1,4
998,2024,11,9
999,2021,5,29
1000,2022,8,23
1001,2024,10,13
1002,2022,11,8
1003,2022,6,5
1004,2021,10,20
1005,2023,7,25
1006,2022,2,26
1007,2023,2,16
1008,2022,5,18
1009,2021,12,10
1010,2024,9,2
1011,2023,11,26
1012,2021,7,13
1013,2022,5,26
1014,2023,6,30
1015,2022,12,26
1016,2021,8,30
1017,2022,1,24
1018,2023,4,7
1019,2022,11,25
1020,2023,5,2
1021,2024,3,5
1022,2024,9,26
1023,2024,12,24
1024,2024,3,23
1025,2024,7,13
1026,2024,10,29
1027,2022,10,23
1028,2021,3,12
1029,2021,8,19
1030,2023,10,21
1031,2024,10,13
1032,2021,8,17
1033,2024,1,12
1034,2021,7,25
1035,2023,7,21
1036,2023,10,26
1037,2021,10,16
1038,2025,2,23
1039,2021,10,28
1040,2021,8,23
1041,2024,7,23
1042,2025,3,18
1043,2021,1,15
1044,2022,6,23
1045,2021,7,29
1046,2021,10,10
1047,2025,3,6
1048,2022,8,18
1049,2024,8,31
1050,2021,5,25
1051,2024,1,4
1052,2023,7,31
1053,2024,12,22
1054,2021,4,24
1055,2021,10,22
1056,2024,11,4
1057,2023,6,7
1058,2023,4,15
1059,2022,3,17
1060,2024,2,9
1061,2024,7,17
1062,2024,2,24
1063,2023,9,17
1064,2021,8,4
1065,2023,12,18
1066,2022,4,20
1067,2022,11,18
1068,2021,2,10
1069,2022,7,6
1070,2021,3,1
1071,2023,1,18
1072,2024,8,28
1073,2024,4,25
1074,2021,7,29
1075,2023,2,21
1076,2021,2,10
1077,2022,1,19
1078,2024,12,20
1079,2021,7,24
1080,2022,8,30
1081,2021,6,12
1082,2022,10,31
1083,2022,4,1
1084,2021,3,18
1085,2024,9,1
1086,2023,8,16
1087,2021,3,20
1088,2025,2,19
1089,2023,10,28
1090,2022,4,16
1091,2021,8,18
1092,2024,6,25
1093,2024,3,21
1094,2021,12,23
1095,2021,9,1
1096,2024,3,15
1097,2021,2,11
1098,2024,8,2
1099,2023,6,6
1100,2025,3,18
1101,2022,6,20
1102,2022,5,10
1103,2022,4,13
1104,2022,10,6
1105,2024,9,28
1106,2021,3,28
1107,2023,8,19
1108,2023,11,8
1109,2024,7,5
1110,2022,6,3
1111,2025,1,7
1112,2022,7,27
1113,2021,3,30
1114,2023,9,14
1115,2024,11,15
1116,2021,1,29
1117,2021,2,17
1118,2021,5,21
1119,2022,6,15
1120,2021,12,20
1121,2022,2,10
1122,2022,10,11
1123,2021,12,10
1124,2024,4,19
1125,2024,4,2
1126,2023,1,20
1127,2023,4,2
1128,2021,8,12
1129,2024,12,12
1130,2022,6,26
1131,2022,7,21
1132,2022,12,28
1133,2022,4,16
1134,2022,6,10
1135,2024,9,3
1136,2022,7,1
1137,2021,6,11
1138,2023,2,18
1139,2022,4,10
1140,2022,10,6
1141,2025,3,1
1142,2021,3,23
1143,2024,11,2
1144,2022,5,3
1145,2024,6,2
1146,2022,7,24
1147,2022,2,19
1148,2023,2,3
1149,2023,12,28
1150,2023,4,6
1151,2025,3,7
1152,2024,7,10
1153,2023,6,12
1154,2021,4,24
1155,2024,8,13
1156,2024,3,13
1157,2024,1,19
1158,2024,4,30
1159,2025,1,17
1160,2021,5,8
1161,2023,8,21
1162,2024,8,10
1163,2022,12,21
1164,2022,12,20
1165,2024,3,13
1166,2023,4,11
1167,2023,1,5
1168,2021,2,6
1169,2023,12,21
1170,2023,9,16
1171,2024,2,13
1172,2023,2,3
1173,2023,3,2
1174,2021,9,3
1175,2023,2,23
1176,2024,11,13
1177,2023,6,21
1178,2024,3,2
1179,2023,8,11
1180,2025,2,26
1181,2021,6,30
1182,2022,3,6
1183,2021,8,16
1184,2024,4,25
1185,2024,6,7
1186,2024,2,25
1187,2022,3,29
1188,2024,6,27
1189,2024,11,27
1190,2024,12,10
1191,2023,4,21
1192,2022,6,21
1193,2022,4,27
1194,2021,5,18
1195,2021,6,11
1196,2021,11,29
1197,2022,11,9
1198,2022,10,27
1199,2024,10,4
1200,2023,2,28
1201,2025,3,19
1202,2023,5,18
1203,2023,8,4
1204,2024,4,20
1205,2021,6,19
1206,2025,1,19
1207,2021,2,10
1208,2021,4,3
1209,2024,12,10
1210,2025,1,23
1211,2021,2,2
1212,2024,11,2
1213,2024,6,19
1214,2025,3,6
1215,2022,2,22
1216,2021,3,26
1217,2023,4,16
1218,2024,11,15
1219,2021,2,11
1220,2023,9,7
1221,2024,12,21
1222,2024,7,14
1223,2023,11,5
1224,2024,7,8
1225,2022,12,27
1226,2022,2,26
1227,2021,10,1
1228,2022,3,5
1229,2021,4,1
1230,2025,3,15
1231,2021,1,22
1232,2023,3,12
1233,2021,8,6
1234,2023,1,22
1235,2023,10,21
1236,2023,7,4
1237,2023,6,16
1238,2022,5,11
1239,2021,2,18
1240,2024,4,20
1241,2021,7,27
1242,2021,3,14
1243,2023,1,22
1244,2021,1,9
1245,2024,10,3
1246,2023,12,25
1247,2023,8,12
1248,2024,10,24
1249,2021,10,19
1250,2021,3,4
1251,2022,7,30
1252,2021,7,9
1253,2023,1,2
1254,2024,3,19
1255,2021,3,25
1256,2022,4,19
1257,2024,3,7
1258,2024,3,15
1259,2024,10,30
1260,2021,10,13
1261,2024,9,23
1262,2024,4,17
1263,2022,3,26
1264,2023,8,5
1265,2021,1,5
1266,2024,7,22
1267,2022,12,5
1268,2021,2,17
1269,2021,2,24
1270,2021,8,25
1271,2024,6,26
1272,2022,10,15
1273,2022,8,20
1274,2025,2,10
1275,2022,8,24
1276,2024,6,29
1277,2024,9,22
1278,2023,7,10
1279,2023,2,11
1280,2024,9,7
1281,2021,12,4
1282,2024,11,23
1283,2022,5,6
1284,2022,2,16
1285,2021,2,14
1286,2021,11,18
1287,2021,8,19
1288,2023,9,3
1289,2022,5,30
1290,2021,5,9
1291,2024,12,20
1292,2024,7,21
1293,2024,3,17
1294,2023,5,27
1295,2023,6,11
1296,2024,6,6
1297,2021,12,1
1298,2024,9,24
1299,2024,7,24
1300,2023,7,30
1301,2023,3,26
1302,2023,7,15
1303,2022,3,8
1304,2023,12,17
1305,2024,4,19
1306,2022,8,10
1307,2024,2,8
1308,2021,8,10
1309,2022,7,16
1310,2022,10,5
1311,2022,5,10
1312,2022,6,22
1313,2021,3,27
1314,2021,8,14
1315,2022,7,15
1316,2021,11,15
1317,2024,6,16
1318,2023,6,23
1319,2023,4,22
1320,2023,4,5
1321,2022,3,18
1322,2024,12,4
1323,2024,9,15
1324,2022,8,22
1325,2021,8,5
1326,2021,1,28
1327,2024,10,2
1328,2024,9,8
1329,2024,3,6
1330,2023,7,15
1331,2022,6,2
1332,2022,11,28
1333,2024,9,25
1334,2024,8,6
1335,2024,9,17
1336,2022,10,17
1337,2025,2,18
1338,2023,12,29
1339,2024,6,23
1340,2024,4,28
1341,2021,9,20
1342,2021,2,20
1343,2021,9,14
1344,2021,3,7
1345,2022,11,10
1346,2023,3,25
1347,2021,3,19
1348,2022,1,20
1349,2023,8,14
1350,2024,8,10
1351,2022,5,23
1352,2023,6,28
1353,2024,5,29
1354,2024,4,29
1355,2022,2,21
1356,2023,6,23
1357,2022,6,5
1358,2021,1,18
1359,2024,9,14
1360,2023,7,10
1361,2024,5,4
1362,2024,4,5
1363,2023,3,10
1364,2021,3,16
1365,2024,3,23
1366,2023,9,23
1367,2021,9,28
1368,2021,8,24
1369,2024,11,15
1370,2025,2,26
1371,2021,5,17
1372,2024,3,6
1373,2024,1,19
1374,2024,1,24
1375,2022,11,28
1376,2024,11,21
1377,2021,3,15
1378,2023,6,3
1379,2022,5,17
1380,2023,11,13
1381,2023,4,11
1382,2023,1,16
1383,2023,5,16
1384,2021,11,6
1385,2022,4,2
1386,2021,1,16
1387,2022,10,30
1388,2022,6,18
1389,2023,2,26
1390,2024,12,11
1391,2023,8,1
1392,2021,8,10
1393,2025,1,13
1394,2024,6,30
1395,2022,5,18
1396,2024,7,29
1397,2021,11,25
1398,2022,4,2
1399,2023,12,3
1400,2024,9,16
1401,2024,9,13
1402,2024,11,5
1403,2023,12,13
1404,2023,12,11
1405,2023,2,25
1406,2023,4,20
1407,2024,8,25
1408,2021,8,22
1409,2024,12,14
1410,2024,9,9
1411,2022,7,18
1412,2022,8,18
1413,2021,4,10
1414,2023,9,23
1415,2021,11,19
1416,2021,6,29
1417,2021,9,14
1418,2024,6,11
1419,2024,12,24
1420,2022,10,16
1421,2021,2,13
1422,2024,4,2
1423,2024,12,13
1424,2021,3,30
1425,2023,7,12
1426,2022,11,10
1427,2024,1,13
1428,2021,10,23
1429,2022,10,28
1430,2023,6,29
1431,2022,12,12
1432,2022,7,22
1433,2021,1,24
1434,2025,1,21
1435,2021,9,26
1436,2021,2,22
1437,2021,8,6
1438,2024,11,19
1439,2023,4,13
1440,2022,8,18
1441,2024,4,18
1442,2021,2,25
1443,2023,2,26
1444,2021,2,15
1445,2023,9,13
1446,2023,12,23
1447,2023,9,8
1448,2023,2,27
1449,2024,5,19
1450,2022,3,18
1451,2022,5,16
1452,2022,12,19
1453,2022,12,27
1454,2021,1,6
1455,2021,4,5
1456,2022,4,23
1457,2024,10,12
1458,2021,8,2
1459,2023,7,16
1460,2023,11,20
1461,2021,9,8
1462,2024,7,26
1463,2022,4,19
1464,2021,11,11
1465,2022,5,31
1466,2023,10,17
1467,2021,9,25
1468,2023,8,17
1469,2022,11,25
1470,2022,7,22
1471,2021,11,11
1472,2022,8,30
1473,2024,7,9
1474,2024,6,28
1475,2025,2,26
1476,2023,11,4
1477,2022,8,13
1478,2022,11,27
1479,2024,6,2
1480,2023,7,15
1481,2025,1,21
1482,2021,8,21
1483,2023,5,11
1484,2023,7,22
1485,2023,3,28
1486,2024,1,3
1487,2024,4,25
1488,2021,3,12
1489,2021,4,29
1490,2023,3,4
1491,2023,8,8
1492,2021,3,15
1493,2024,8,13
1494,2021,2,7
